type,exclude,date,date_end,what,what_translation,institution,department,where,additional_info,additional_info2,url,slides,video,short_cv,category,order,academic,professional_2_page,website,one_column_paged,brief_no_pubs,humanities,humanities_description
experience,NA,2019-09-09,present,Assistant Professor in Statistics,NA,NA,NA,"[Mathematical Sciences, Faculty of Science, *Universiti Brunei Darussalam*](http://fos.ubd.edu.bn/)","My teaching duties include SM-1402 Basic Statistics, CU-0304 Sciences for University Study, SM-4331 Advanced Statistics, SM-2401 Geometry, and SR-5101 Advanced Research Skills. I also have final-year mathematics project students whom I supervise. In addition to my teaching duties, I am one of the [Discovery Year](https://ubd.edu.bn/admission/discovery-year.html) advisors (2019-21).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
experience,NA,2014-01-01,2018-08-31,Graduate Teaching Assistant,NA,NA,NA,"[Department of Statistics, London School of Economics and Political Science](http://lse.ac.uk/Statistics/)","I held various teaching roles ranging from secondary teaching to marking for masters (ST416 Multilevel Modelling, ST421 Development in Statistical Methods) and undergraduate level courses (ST312 Applied Statistics Project) at the LSE. In addition, I also held assistant invigilator and examiner roles for both the LSE and the University of London International Examinations respectively.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
experience,NA,2010-10-11,2019-09-09,Research Officer,NA,NA,NA,"[Centre for Science and Technology, Research and Development (CSTRAD), Ministry of Defence, Brunei](https://www2.mindef.gov.bn/cstrad/)","I provided analytical insight into matters arising from strategic procurement activities of the Royal Brunei Armed Forces (RBAF). This entailed market research, cost-benefit analyses, and writing technical reports. I was a core team member for the procurement and delivery of [12 Sikorsky S-70i helicopters](https://news.lockheedmartin.com/2011-12-13-Sikorsky-Signs-with-Brunei-Ministry-of-Defence-for-Sale-of-S-70iTM-BLACK-HAWK-Helicopters) (US$325M), and also the focal point for the development of tender evaluation criteria using the Analytic Hierarchy Process.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
education,NA,2014-10-01,2018-08-31,PhD in Statistics,NA,NA,NA,London School of Economics and Political Science,Supervisors: [Wicher Bergsma](http://stats.lse.ac.uk/bergsma/) and [Irini Moustaki](http://stats.lse.ac.uk/moustaki/),Thesis: *Regression modelling using priors depending on Fisher information covariance kernels (I-priors)*[](https://phd.haziqj.ml/),NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA,NA
education,NA,2013-10-01,2014-07-31,MSc in Statistics (distinction),NA,NA,NA,London School of Economics and Political Science,NA,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA,NA
education,NA,2006-10-01,2010-07-31,"BSc & Master in Mathematics, Operational Research, Statistics and Economics (first class honours)",NA,NA,NA,University of Warwick,Supervisor: [David Firth](http://www2.warwick.ac.uk/fac/sci/statistics/staff/academic-research/firth/),Dissertation: *The analysis of paired comparison data using Bradley-Terry models with applications to football data*,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA,NA
awards,NA,2020-06-01,NA,[Arnold Zellner Thesis Award in Econometrics and Statistics (honourable mention)](https://community.amstat.org/businessandeconomicstatisticssection/new-item/new-item2),NA,NA,NA,American Statistical Association (Business and Economic Statistics Section),NA,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA,NA
awards,NA,2013-10-01,2018-08-31,In-Service Training Scheme Scholarship,NA,NA,NA,"Public Service Commission, Prime Minister’s Office, Brunei",NA,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA,NA
awards,NA,2006-10-01,2010-07-31,[Supreme Commander of The Royal Brunei Armed Forces Scholarship](https://scholarship.mindef.gov.bn/Theme/Home.aspx),NA,NA,NA,"Ministry of Defence, Brunei",NA,£200,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA,NA
awards,NA,2006-06-01,NA,*Anugerah Penuntut Terbaik Tahun 2005* (Best Student Award 2005),NA,NA,NA,*Persatuan Guru-Guru Melayu Brunei* (PGGMB),NA,£200,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA,NA
