exclude,type,authors_full,date,title,abstract,tldr,venue,venue_abbrev,short_title,prof_venue,award,url,pdf,materials,ebook,blog,full_talk,full_talk_embed,teaser_video,teaser_video_embed,bibtex,short_cv,professional_2_page,featured,image,project,doctoral_dissertation,sigchi_description,sigchi_award_description
NA,software,Haziq Jamil,2021-07-01,iprior: Regression Modelling using I-priors,NA,"Many people feel a lack of agency over their app use, which is linked to negative life effects such as loss of sleep. 
From a survey of 120 U.S. users, we find that autoplay and recommendations primarily undermine sense of agency on YouTube, while search and playlists support it. 
From 13 co-design sessions, we find that when users have a specific intention for how they want to use YouTube they prefer interfaces that support greater agency.",R package version 0.7.1,NA,NA,Proceedings of the 2021 CHI Conference on Human Factors in Computing Systems,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,software,Haziq Jamil,2021-03-05,iprobit: Binary and Multinomial Probit Regression with I-priors,NA,"Many people feel a lack of agency over their app use, which is linked to negative life effects such as loss of sleep. 
From a survey of 120 U.S. users, we find that autoplay and recommendations primarily undermine sense of agency on YouTube, while search and playlists support it. 
From 13 co-design sessions, we find that when users have a specific intention for how they want to use YouTube they prefer interfaces that support greater agency.",R package version 0.0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,software,Haziq Jamil,2021-03-05,ipriorBVS: Bayesian Variable Selection using I-priors,NA,"Many people feel a lack of agency over their app use, which is linked to negative life effects such as loss of sleep. 
From a survey of 120 U.S. users, we find that autoplay and recommendations primarily undermine sense of agency on YouTube, while search and playlists support it. 
From 13 co-design sessions, we find that when users have a specific intention for how they want to use YouTube they prefer interfaces that support greater agency.",R package version 0.1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,paper,Haziq Jamil,2018-10-31,Regression modelling using priors depending on Fisher information covariance kernels (I-priors),NA,NA,PhD Thesis. London School of Economics and Political Science.,NA,Applying Dual Systems Theory to Digital Self-Control Tools,Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems,"Arnold Zellner award, honourable mention (top 3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,preprint,"Stefan Gӧdeke, Haziq Jamil, Mario Schirmer, Anja Bretzler, Norazanita Shamsuddin, Nur H. Mansor",2020-12-16,Increase in iron and manganese due to reducing conditions at a tropical catchment in South East Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,preprint,"Fadzilah Jali, Elvynna Leong, Haziq Jamil",2020-12-01,Factors Affecting Readmission to the Drug Rehabilitation Centre in Brunei Darussalam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,preprint,Haziq Jamil,2010-07-01,Analysis of paired comparison data using Bradley-Terry models with applications to football data,NA,NA,Masters Thesis. University of Warwick.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,preprint,"Haziq Jamil, Wicher Bergsma",2019-11-01,iprior: An R Package for Regression Modelling using I-priors,NA,NA,arXiv:1912.01376 [stat].,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,preprint,"Haziq Jamil, Ayesha Salleh, Le Thieng Chan",2020-07-01,Investigating the effect of load carriage on soldiers' performances using Bayesian structural equation models,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,preprint,"Wicher Bergsma, Haziq Jamil",2020-12-01,"Regression modelling with I-priors: With applications to functional, multilevel and longitudinal data",NA,NA,"arXiv:2007.15766 [math, stat].",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
